Date_time, Relative_Humidity(%), Temperature(C), Light_intensity(Lux), Latitude, Longitude
Thu 2023-03-23 12:06:04 IST, 38.07, 29.83, 2052.00, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:07:04 IST, 38.44, 29.92, 2062.02, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:08:04 IST, 38.53, 30.05, 2064.38, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:09:04 IST, 37.73, 30.20, 2064.38, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:10:04 IST, 37.04, 30.31, 2064.67, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:11:04 IST, 36.29, 30.25, 2062.66, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:12:04 IST, 36.83, 30.25, 2048.03, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:13:04 IST, 37.13, 30.12, 2035.64, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:14:04 IST, 37.68, 30.12, 2046.53, 3058.0848N, 07628.8226E
Thu 2023-03-23 12:15:04 IST, 36.57, 30.25, 2054.19, 3058.0848N, 07628.8226E
